dt,gender,age,chainname,number_visit
2015-07-15,male,65_plus,Chick-fil-A,78
2015-07-15,male,18_24,Chick-fil-A,163
2015-07-15,male,35_44,Chick-fil-A,935
2015-07-15,female,55_64,Chick-fil-A,162
2015-07-15,female,65_plus,Chick-fil-A,59
2015-07-15,male,25_34,Chick-fil-A,900
2015-07-15,female,55_64,Popeyes Louisiana Kitchen,32
2015-07-15,male,55_64,Popeyes Louisiana Kitchen,34
2015-07-15,female,18_24,Popeyes Louisiana Kitchen,31
2015-07-15,male,Under_18,Chick-fil-A,3
2015-07-15,female,35_44,Popeyes Louisiana Kitchen,123
2015-07-15,female,35_44,Chick-fil-A,747
2015-07-15,male,35_44,Popeyes Louisiana Kitchen,234
2015-07-15,male,55_64,Chick-fil-A,180
2015-07-15,female,25_34,Popeyes Louisiana Kitchen,204
2015-07-15,female,Under_18,Chick-fil-A,10
2015-07-15,male,45_54,Chick-fil-A,525
2015-07-15,male,45_54,Popeyes Louisiana Kitchen,122
2015-07-15,female,65_plus,Popeyes Louisiana Kitchen,17
2015-07-15,female,25_34,Chick-fil-A,873
2015-07-15,male,65_plus,Popeyes Louisiana Kitchen,20
2015-07-15,female,45_54,Chick-fil-A,434
2015-07-15,female,45_54,Popeyes Louisiana Kitchen,70
2015-07-16,male,45_54,Popeyes Louisiana Kitchen,129
2015-07-16,female,Under_18,Popeyes Louisiana Kitchen,1
2015-07-16,female,65_plus,Chick-fil-A,67
2015-07-16,female,35_44,Popeyes Louisiana Kitchen,163
2015-07-16,male,18_24,Chick-fil-A,148
2015-07-16,male,65_plus,Chick-fil-A,58
2015-07-16,male,35_44,Popeyes Louisiana Kitchen,272
2015-07-16,male,18_24,Popeyes Louisiana Kitchen,27
2015-07-16,male,25_34,Chick-fil-A,883
2015-07-16,female,25_34,Chick-fil-A,831
2015-07-16,male,45_54,Chick-fil-A,505
2015-07-16,female,18_24,Chick-fil-A,198
2015-07-16,female,Under_18,Chick-fil-A,9
2015-07-16,male,65_plus,Popeyes Louisiana Kitchen,17
2015-07-16,female,35_44,Chick-fil-A,734
2015-07-16,female,45_54,Popeyes Louisiana Kitchen,93
2015-07-16,male,Under_18,Chick-fil-A,4
2015-07-16,female,18_24,Popeyes Louisiana Kitchen,33
2015-07-16,male,55_64,Chick-fil-A,180
2015-07-16,female,25_34,Popeyes Louisiana Kitchen,200
2015-07-16,male,35_44,Chick-fil-A,998
2015-07-16,female,55_64,Chick-fil-A,173
2015-07-16,male,25_34,Popeyes Louisiana Kitchen,262
2015-07-16,male,55_64,Popeyes Louisiana Kitchen,55
2015-07-16,female,45_54,Chick-fil-A,436
2015-07-16,female,65_plus,Popeyes Louisiana Kitchen,10
2015-07-16,female,55_64,Popeyes Louisiana Kitchen,28
2015-07-17,female,Under_18,Popeyes Louisiana Kitchen,1
2015-07-17,male,65_plus,Popeyes Louisiana Kitchen,25
2015-07-17,male,18_24,Popeyes Louisiana Kitchen,38
2015-07-17,female,65_plus,Popeyes Louisiana Kitchen,10
2015-07-17,female,18_24,Chick-fil-A,237
2015-07-17,male,45_54,Chick-fil-A,595
2015-07-17,male,25_34,Chick-fil-A,1008
2015-07-17,male,55_64,Chick-fil-A,179
2015-07-17,female,35_44,Chick-fil-A,819
2015-07-17,male,Under_18,Popeyes Louisiana Kitchen,2
2015-07-17,female,55_64,Chick-fil-A,210
2015-07-17,male,45_54,Popeyes Louisiana Kitchen,136
2015-07-17,female,45_54,Popeyes Louisiana Kitchen,92
2015-07-17,female,45_54,Chick-fil-A,490
2015-07-17,male,35_44,Popeyes Louisiana Kitchen,258
2015-07-17,male,Under_18,Chick-fil-A,4
2015-07-17,female,25_34,Chick-fil-A,1025
2015-07-17,male,55_64,Popeyes Louisiana Kitchen,43
2015-07-17,male,25_34,Popeyes Louisiana Kitchen,307
2015-07-17,female,55_64,Popeyes Louisiana Kitchen,30
2015-07-17,male,65_plus,Chick-fil-A,67
2015-07-17,female,65_plus,Chick-fil-A,67
2015-07-17,female,18_24,Popeyes Louisiana Kitchen,31
2015-07-17,female,25_34,Popeyes Louisiana Kitchen,240
2015-07-17,male,18_24,Chick-fil-A,161
2015-07-17,female,35_44,Popeyes Louisiana Kitchen,164
2015-07-17,female,Under_18,Chick-fil-A,17
2015-07-17,male,35_44,Chick-fil-A,1075
2015-07-18,male,Under_18,Popeyes Louisiana Kitchen,1
2015-07-18,male,55_64,Chick-fil-A,194
2015-07-18,female,Under_18,Chick-fil-A,12
2015-07-18,male,25_34,Popeyes Louisiana Kitchen,297
2015-07-18,female,35_44,Chick-fil-A,834
2015-07-18,female,35_44,Popeyes Louisiana Kitchen,172
2015-07-18,male,45_54,Chick-fil-A,648
2015-07-18,female,65_plus,Chick-fil-A,60
2015-07-18,female,65_plus,Popeyes Louisiana Kitchen,7
2015-07-18,male,35_44,Popeyes Louisiana Kitchen,255
2015-07-18,female,18_24,Chick-fil-A,221
2015-07-18,male,35_44,Chick-fil-A,1073
2015-07-18,female,55_64,Popeyes Louisiana Kitchen,41
2015-07-18,male,Under_18,Chick-fil-A,6
2015-07-18,male,65_plus,Chick-fil-A,89
2015-07-18,male,65_plus,Popeyes Louisiana Kitchen,20
2015-07-18,male,18_24,Popeyes Louisiana Kitchen,20
2015-07-18,female,45_54,Popeyes Louisiana Kitchen,89
2015-07-18,female,25_34,Popeyes Louisiana Kitchen,255
2015-07-18,female,18_24,Popeyes Louisiana Kitchen,31
2015-07-18,male,55_64,Popeyes Louisiana Kitchen,46
2015-07-18,female,Under_18,Popeyes Louisiana Kitchen,1
